BANC,FAFB,MCNS
720575941539358613,720575940626979621,10009
720575941352042288,720575940596125868,12584
720575941352043312,720575940599457990,62078
720575941352233776,720575940599733446,76140
720575941392620438,720575940600071689,79704
720575941392641430,720575940600866569,82963
720575941392902660,720575940600934665,83125
720575941399747363,720575940602790610,83677
720575941401083171,720575940603356896,83849
720575941402615408,720575940603373916,84134
720575941402696048,720575940603940012,85536
720575941403992432,720575940604084704,85731
720575941406258606,720575940604324320,85934
720575941411137451,720575940604411616,86390
720575941412166545,720575940604427232,86488
720575941412299631,720575940604487968,86645
720575941413228689,720575940604544358,86696
720575941413332628,720575940604679664,87008
720575941413487761,720575940604778156,87699
720575941413902225,720575940604804798,88540
720575941414121876,720575940604875744,89125
720575941415563804,720575940604983398,89816
720575941415639580,720575940605096550,89934
720575941415760156,720575940605335910,90888
720575941425445972,720575940605336422,91172
720575941426954580,720575940605384736,91476
720575941429974881,720575940605398048,91601
720575941430007689,720575940605426278,91674
720575941430048175,720575940605470310,92141
720575941430053039,720575940605528166,92339
720575941430167032,720575940605535177,92380
720575941430878049,720575940605550112,92640
720575941431189463,720575940605559328,92728
720575941434514062,720575940605676041,92823
720575941436362514,720575940605712486,93031
720575941437308178,720575940605725105,93173
720575941438079020,720575940605734944,93407
720575941438097452,720575940605738417,93551
720575941438694623,720575940605751008,93712
720575941439295711,720575940605773233,93929
720575941439710159,720575940605880497,93977
720575941440804699,720575940605886338,94081
720575941440936399,720575940606014310,94144
720575941441227099,720575940606077374,94180
720575941441946459,720575940606236337,94287
720575941448992437,720575940606444930,94535
720575941449083741,720575940606466761,94763
720575941449689437,720575940606521801,94953
720575941450185053,720575940606527922,95017
720575941450692174,720575940606577865,95313
720575941451085993,720575940606592713,95532
720575941452213417,720575940606601417,95534
720575941452229289,720575940606612098,95539
720575941452396871,720575940606622082,95593
720575941452519593,720575940606736830,95610
720575941452943273,720575940606774146,95845
720575941453396649,720575940606807729,95982
720575941453461043,720575940606862978,96015
720575941454556723,720575940606920578,96130
720575941455187507,720575940606926722,96212
720575941455638253,720575940607040178,96219
720575941456461296,720575940607063730,96381
720575941457003679,720575940607114882,96387
720575941458283935,720575940607131570,96661
720575941458470128,720575940607204530,96879
720575941460847812,720575940607259228,97023
720575941460859859,720575940607762354,97141
720575941461744784,720575940607880028,97161
720575941463033744,720575940608041923,97284
720575941464734294,720575940608162652,97318
720575941466379606,720575940608246281,97529
720575941468999389,720575940608253379,97595
720575941470658059,720575940608253961,97630
720575941471138624,720575940608343305,97664
720575941471514432,720575940608352690,97762
720575941472819296,720575940608362076,97853
720575941473055328,720575940608378121,97923
720575941473634858,720575940608404747,98030
720575941474230843,720575940608405515,98360
720575941474536763,720575940608486921,98621
720575941474636859,720575940608535876,98751
720575941475015739,720575940608661187,98803
720575941475332411,720575940608729097,98846
720575941475578433,720575940608763147,98957
720575941476302897,720575940608792026,98995
720575941476304926,720575940608846019,99061
720575941476397876,720575940608920075,99251
720575941476413726,720575940609006857,99358
720575941476647985,720575940609043925,99359
720575941476863297,720575940609078723,99371
720575941477408106,720575940609160457,99375
720575941477552490,720575940609201347,99414
720575941478689898,720575940609208412,99467
720575941479717506,720575940609352387,99533
720575941481054659,720575940609361621,99652
720575941481615613,720575940609499000,99756
720575941482209222,720575940609804245,99939
720575941482619389,720575940609826884,100014
720575941482694141,720575940609835332,100042
720575941482969085,720575940609843298,100280
720575941483318269,720575940609985860,100388
720575941484304194,720575940610076792,100422
720575941484815110,720575940610238510,100446
720575941485305229,720575940610294979,100644
720575941486123149,720575940610363972,100767
720575941486260998,720575940610364228,100865
720575941486723280,720575940610367812,100912
720575941489794505,720575940610481528,100923
720575941490140878,720575940610649810,101095
720575941490432972,720575940610727266,101123
720575941490771509,720575940610732386,101157
720575941491291367,720575940610735458,101377
720575941491311820,720575940610742882,101589
720575941491422670,720575940610773602,101599
720575941492240560,720575940610805858,101621
720575941495011015,720575940610811746,101702
720575941495611520,720575940610814328,101708
720575941496063872,720575940610816881,101807
720575941496309888,720575940610835922,101927
720575941496913889,720575940610861717,101994
720575941497678203,720575940610896708,102134
720575941498067273,720575940610970586,102240
720575941498324809,720575940610989944,102298
720575941499137442,720575940611121506,102370
720575941499383202,720575940611130744,102435
720575941499778722,720575940611250040,102462
720575941501105803,720575940611333841,102481
720575941501922699,720575940611375314,102486
720575941501932939,720575940611378552,102498
720575941502338610,720575940611540174,102502
720575941502552811,720575940611556757,102506
720575941503179755,720575940611561109,102595
720575941503429975,720575940611693205,102742
720575941503459890,720575940611746995,102769
720575941503767090,720575940611785841,102770
720575941503969189,720575940611805333,102817
720575941505196709,720575940611836309,102833
720575941505244476,720575940611895987,102905
720575941505373207,720575940611938856,102975
720575941505429564,720575940611976115,103125
720575941505900092,720575940612051825,103139
720575941506802501,720575940612055219,103193
720575941507020055,720575940612061170,103271
720575941507393570,720575940612064997,103284
720575941507494178,720575940612065522,103294
720575941508974802,720575940612081777,103586
720575941510903568,720575940612110946,103610
720575941512892748,720575940612173541,103612
720575941513828442,720575940612176090,103677
720575941514247315,720575940612207253,103868
720575941514542179,720575940612207589,103879
720575941514757731,720575940612234725,103989
720575941514844665,720575940612237285,104074
720575941516018067,720575940612246258,104160
720575941516035219,720575940612289689,104414
720575941518777966,720575940612316313,104454
720575941519069550,720575940612354711,104517
720575941520708279,720575940612360755,104607
720575941521642487,720575940612376983,104621
720575941521991671,720575940612379287,104636
720575941522443255,720575940612407409,104679
720575941522503415,720575940612451223,104696
720575941523093495,720575940612466329,104714
720575941523144011,720575940612489166,104744
720575941524776217,720575940612537366,104753
720575941525012761,720575940612543146,104853
720575941525882114,720575940612561125,104913
720575941526618370,720575940612584173,104987
720575941526860932,720575940612603926,105020
720575941527195814,720575940612648818,105113
720575941527990148,720575940612660520,105124
720575941529370808,720575940612694755,105168
720575941530367947,720575940612719090,105237
720575941531380453,720575940612755314,105319
720575941532828650,720575940612768405,105417
720575941532868586,720575940612775958,105571
720575941532872114,720575940612847018,105608
720575941534117554,720575940612861649,105849
720575941534149354,720575940612906904,106043
720575941534876865,720575940612931480,106170
720575941535520449,720575940612944435,106175
720575941535552193,720575940612946863,106200
720575941535613450,720575940612960661,106344
720575941535809763,720575940612962611,106393
720575941536157978,720575940612962730,106587
720575941536926179,720575940612979171,106636
720575941537949426,720575940612986482,106692
720575941537954802,720575940613020018,106701
720575941539411917,720575940613145059,106751
720575941539443917,720575940613222567,106858
720575941541494876,720575940613226221,106914
720575941541507164,720575940613254166,106945
720575941541799453,720575940613262573,106964
720575941542519581,720575940613294632,107040
720575941543178781,720575940613295400,107068
720575941544778428,720575940613378541,107141
720575941545415356,720575940613499857,107143
720575941545416124,720575940613523478,107271
720575941545659068,720575940613545768,107376
720575941546235060,720575940613551510,107431
720575941546531508,720575940613601576,107445
720575941546883508,720575940613606575,107489
720575941548367421,720575940613612207,107509
720575941548886845,720575940613640421,107529
720575941549055604,720575940613675542,107543
720575941549178228,720575940613733860,107564
720575941549190205,720575940613776680,107574
720575941549955071,720575940613862802,107604
720575941551411774,720575940613877555,107758
720575941551492863,720575940613922099,107889
720575941551892798,720575940613925073,107933
720575941552881179,720575940613965231,107976
720575941553254023,720575940613975970,108080
720575941553322323,720575940613997265,108094
720575941553355930,720575940614033887,108132
720575941553484442,720575940614176066,108161
720575941553644571,720575940614219926,108205
720575941553652507,720575940614271919,108276
720575941554095361,720575940614281122,108344
720575941554178970,720575940614283426,108470
720575941554794241,720575940614290897,108501
720575941555878372,720575940614292478,108516
720575941556208804,720575940614296214,108521
720575941558345587,720575940614382226,108543
720575941559867663,720575940614398370,108596
720575941560033774,720575940614411154,108616
720575941560073587,720575940614547602,108721
720575941560921901,720575940614620381,108724
720575941563716096,720575940614623430,108742
720575941563781778,720575940614686662,108787
720575941564309511,720575940614689938,109006
720575941564415842,720575940614724502,109034
720575941564784738,720575940614791645,109227
720575941565616487,720575940614831144,109262
720575941565819438,720575940614947039,109330
720575941565830198,720575940614971005,109491
720575941566244967,720575940614974110,109556
720575941566249319,720575940615026070,109620
720575941568428282,720575940615040943,109699
720575941568776050,720575940615070687,109750
720575941568866804,720575940615147571,109757
720575941569298546,720575940615169090,109768
720575941571891208,720575940615175903,109774
720575941573501435,720575940615213983,109946
720575941573863325,720575940615218087,109998
720575941573996041,720575940615220639,110071
720575941574353673,720575940615255446,110110
720575941574684937,720575940615263298,110155
720575941574707343,720575940615297548,110296
720575941574795933,720575940615327197,110309
720575941574939830,720575940615368498,110312
720575941575552872,720575940615402914,110324
720575941575841896,720575940615408757,110406
720575941575891638,720575940615415263,110442
720575941578730833,720575940615419442,110522
720575941578753105,720575940615481019,110657
720575941578998353,720575940615564354,110682
720575941579661905,720575940615618134,110684
720575941583546502,720575940615618354,110687
720575941585067142,720575940615658508,110722
720575941585628126,720575940615665458,110768
720575941588544055,720575940615678150,110928
720575941588878647,720575940615693766,110942
720575941589589303,720575940615741145,110946
720575941590190590,720575940615788603,110989
720575941590213260,720575940615816863,111230
720575941590252172,720575940615837746,111268
720575941590714110,720575940615838770,111275
720575941591937064,720575940615909900,111456
720575941591938600,720575940615911583,111532
720575941592491560,720575940615931186,111662
720575941592779115,720575940616008350,111821
720575941592920616,720575940616015803,111823
720575941595021425,720575940616109825,111900
720575941595521137,720575940616174292,111928
720575941596121989,720575940616194772,111944
720575941597967516,720575940616219353,111967
720575941598661276,720575940616238521,112126
720575941601718713,720575940616248949,112154
720575941603067070,720575940616250041,112178
720575941604121590,720575940616272962,112186
720575941606135405,720575940616316884,112201
720575941606590317,720575940616396917,112205
720575941607208557,720575940616410129,112220
720575941610262761,720575940616420438,112231
720575941610918377,720575940616452950,112251
720575941611016681,720575940616479547,112273
720575941611485417,720575940616481766,112310
720575941611552173,720575940616494865,112379
720575941613255577,720575940616516235,112381
720575941613376988,720575940616556561,112476
720575941614944665,720575940616575761,112497
720575941623442684,720575940616586891,112508
720575941625194651,720575940616616507,112553
720575941625345388,720575940616641931,112619
720575941625570203,720575940616649145,112681
720575941625858186,720575940616664833,112689
720575941627646521,720575940616666146,112732
720575941628558374,720575940616680587,112734
720575941628738342,720575940616731665,112818
720575941628772646,720575940616732722,112843
720575941629687334,720575940616748249,112947
720575941630933740,720575940616828172,112993
720575941631722732,720575940616844475,113002
720575941634278843,720575940616904029,113003
720575941638372469,720575940616906641,113089
720575941639589919,720575940616928185,113171
720575941639596063,720575940616934203,113212
720575941639768095,720575940616936285,113218
720575941639781663,720575940616947573,113291
720575941640130847,720575940616949977,113411
720575941640779551,720575940616997062,113416
720575941643679570,720575940617009735,113431
720575941651515665,720575940617017542,113443
720575941652076817,720575940617076107,113475
720575941652224497,720575940617111513,113477
720575941653235729,720575940617132262,113499
720575941653931225,720575940617134036,113537
720575941653938905,720575940617171985,113678
720575941653939417,720575940617180049,113744
720575941654772436,720575940617220281,113799
720575941657569048,720575940617250489,113878
720575941657888080,720575940617254801,113983
720575941658216272,720575940617270484,113990
720575941658584400,720575940617339835,114021
720575941660431672,720575940617358009,114035
720575941662807420,720575940617368123,114088
720575941663724668,720575940617397433,114102
720575941668018163,720575940617409349,114132
720575941669351079,720575940617442022,114196
720575941679137213,720575940617485286,114299
720575941685675247,720575940617488641,114430
720575941687197423,720575940617514241,114457
720575941687632758,720575940617531478,114465
720575941687756556,720575940617557649,114588
720575941688314742,720575940617586210,114674
720575941689503707,720575940617636609,114710
720575941689895832,720575940617643810,114739
720575941702087386,720575940617689561,114767
720575941702771674,720575940617694182,114782
720575941722410042,720575940617699998,114791
720575941730636843,720575940617780241,114977
720575941731686443,720575940617782941,115051
720575941732226603,720575940617817629,115060
